geoid,name,B01002000.5 - Median age --,"B01002000.5 - Median age --, Error",B01002001 - Total:,"B01002001 - Total:, Error",B01002002 - Male,"B01002002 - Male, Error",B01002003 - Female,"B01002003 - Female, Error"
04000US19,Iowa,,,38,0.2,36.6,0.2,39.4,0.1
05000US19001,"Adair County, IA",,,45.4,0.3,44.2,0.6,47,0.8
05000US19003,"Adams County, IA",,,46.5,0.6,46.1,0.8,47.3,0.9
05000US19005,"Allamakee County, IA",,,44.2,0.4,43.7,0.9,45.1,0.6
05000US19007,"Appanoose County, IA",,,44.2,0.5,43.1,0.7,45.6,0.7
05000US19009,"Audubon County, IA",,,46.7,0.5,45.7,0.5,48,0.6
05000US19011,"Benton County, IA",,,40.4,0.5,39.7,0.8,41.2,0.8
05000US19013,"Black Hawk County, IA",,,34.6,0.2,33.5,0.2,35.6,0.2
05000US19015,"Boone County, IA",,,40.9,0.6,39.1,0.6,42.8,0.9
05000US19017,"Bremer County, IA",,,38.3,0.4,37.5,0.5,39.5,0.9
05000US19019,"Buchanan County, IA",,,38.9,0.8,37.8,1,40.2,0.5
05000US19021,"Buena Vista County, IA",,,36.5,0.6,34.3,0.6,38.7,1.8
05000US19023,"Butler County, IA",,,43.6,0.4,42.5,0.7,44.5,0.5
05000US19025,"Calhoun County, IA",,,47.5,0.5,44.8,0.7,49.5,0.3
05000US19027,"Carroll County, IA",,,42.5,0.5,41.4,0.8,43.7,0.5
05000US19029,"Cass County, IA",,,44.8,0.3,41.1,1.2,46.7,0.6
05000US19031,"Cedar County, IA",,,42.8,0.5,41.9,1,43.7,0.4
05000US19033,"Cerro Gordo County, IA",,,43.4,0.4,42.1,0.7,45,0.4
05000US19035,"Cherokee County, IA",,,47.3,0.4,45.2,0.6,49,0.6
05000US19037,"Chickasaw County, IA",,,43.9,0.7,42.8,1,45.3,0.3
05000US19039,"Clarke County, IA",,,41.5,1,38.3,1.2,44,3.3
05000US19041,"Clay County, IA",,,42.8,0.6,41.3,0.9,44,0.7
05000US19043,"Clayton County, IA",,,44.7,0.3,43.6,0.4,45.6,0.5
05000US19045,"Clinton County, IA",,,41.6,0.5,40.5,0.7,42.5,0.3
05000US19047,"Crawford County, IA",,,38,1.2,37,0.7,39.6,1.1
05000US19049,"Dallas County, IA",,,34.3,0.3,33.7,0.5,34.7,0.4
05000US19051,"Davis County, IA",,,38.6,1.3,37.3,1.2,39.6,2
05000US19053,"Decatur County, IA",,,38.4,0.6,35.8,0.9,41.1,1.5
05000US19055,"Delaware County, IA",,,41.9,0.6,41.8,0.9,42.1,0.9
05000US19057,"Des Moines County, IA",,,41.8,0.5,39.6,0.8,43.8,0.8
05000US19059,"Dickinson County, IA",,,48.3,0.5,46.5,0.6,49.8,0.3
05000US19061,"Dubuque County, IA",,,38.7,0.4,37.4,0.4,39.9,0.4
05000US19063,"Emmet County, IA",,,40.2,0.9,36.9,1.2,43.4,1.1
05000US19065,"Fayette County, IA",,,42.3,0.5,40.9,0.8,44,0.6
05000US19067,"Floyd County, IA",,,43.6,0.4,42.8,1.1,44.2,0.7
05000US19069,"Franklin County, IA",,,43,2,39.5,1.3,45,1.7
05000US19071,"Fremont County, IA",,,45.4,0.3,44,0.5,46.8,0.5
05000US19073,"Greene County, IA",,,45.1,0.2,42.9,0.6,46.6,1.1
05000US19075,"Grundy County, IA",,,42.5,0.7,41,0.7,44.3,0.5
05000US19077,"Guthrie County, IA",,,44.9,0.3,43.5,0.5,46.2,0.4
05000US19079,"Hamilton County, IA",,,42.1,1.1,40.3,1.9,44,0.9
05000US19081,"Hancock County, IA",,,44.7,0.8,43,0.7,45.8,0.6
05000US19083,"Hardin County, IA",,,43.6,0.7,40.9,0.6,46.3,0.7
05000US19085,"Harrison County, IA",,,42.7,0.5,41.1,0.9,44.3,0.4
05000US19087,"Henry County, IA",,,39.8,0.7,38.3,1.3,40.9,0.6
05000US19089,"Howard County, IA",,,42.4,0.7,41.5,1.1,43.4,0.4
05000US19091,"Humboldt County, IA",,,44.4,0.4,42.2,1.2,45.7,1
05000US19093,"Ida County, IA",,,44.8,0.4,42.5,0.7,47.3,0.4
05000US19095,"Iowa County, IA",,,42.3,0.6,41.5,1.1,42.8,0.6
05000US19097,"Jackson County, IA",,,43.9,0.4,42.3,0.6,45.1,0.3
05000US19099,"Jasper County, IA",,,41.7,0.5,39.6,0.5,44.1,0.4
05000US19101,"Jefferson County, IA",,,44,1,42.5,1.7,45.6,1.1
05000US19103,"Johnson County, IA",,,29.3,0.2,28.8,0.2,29.8,0.1
05000US19105,"Jones County, IA",,,42.7,0.5,41.2,1.1,43.8,0.6
05000US19107,"Keokuk County, IA",,,43.6,0.5,41.6,0.9,45.5,0.3
05000US19109,"Kossuth County, IA",,,46.9,0.3,45.8,0.5,47.7,0.5
05000US19111,"Lee County, IA",,,42.4,0.6,40.7,0.6,44.4,0.4
05000US19113,"Linn County, IA",,,36.7,0.2,35.6,0.2,37.8,0.4
05000US19115,"Louisa County, IA",,,39.3,0.8,38.7,0.5,40.2,0.7
05000US19117,"Lucas County, IA",,,43.8,0.6,42.4,0.8,45.6,0.7
05000US19119,"Lyon County, IA",,,38.3,0.6,36.8,0.6,40.4,1.1
05000US19121,"Madison County, IA",,,39.4,0.6,38.2,1,40.2,1.3
05000US19123,"Mahaska County, IA",,,39.3,0.7,38.4,0.8,40.5,0.8
05000US19125,"Marion County, IA",,,38.8,0.8,37,0.6,40.4,0.4
05000US19127,"Marshall County, IA",,,39.4,0.6,37.9,0.8,40.8,0.6
05000US19129,"Mills County, IA",,,41.4,0.5,41,0.7,42.1,0.9
05000US19131,"Mitchell County, IA",,,44.6,0.4,42.9,1.1,45.9,1
05000US19133,"Monona County, IA",,,46.8,0.3,45.4,0.6,48.7,0.5
05000US19135,"Monroe County, IA",,,43.3,0.5,41.6,2.8,44.3,0.7
05000US19137,"Montgomery County, IA",,,45.2,0.3,43.5,0.6,46.8,1
05000US19139,"Muscatine County, IA",,,38,0.5,37.1,0.7,39.2,0.5
05000US19141,"O'Brien County, IA",,,44.4,0.6,40.9,1.1,46.5,1.2
05000US19143,"Osceola County, IA",,,43.3,0.7,42.2,1.1,44.9,0.9
05000US19145,"Page County, IA",,,43.8,0.7,41.3,0.8,46.4,0.7
05000US19147,"Palo Alto County, IA",,,42.8,0.7,41.4,1,45.9,0.6
05000US19149,"Plymouth County, IA",,,42.5,0.5,40.9,0.9,43.4,0.5
05000US19151,"Pocahontas County, IA",,,47.3,0.3,46.6,1.1,47.9,0.5
05000US19153,"Polk County, IA",,,34.7,0.1,33.8,0.2,35.7,0.1
05000US19155,"Pottawattamie County, IA",,,38.5,0.3,36.6,0.5,40.2,0.4
05000US19157,"Poweshiek County, IA",,,41.3,0.6,38.9,1,43.6,0.8
05000US19159,"Ringgold County, IA",,,45.4,0.4,43.4,1,47.7,0.8
05000US19161,"Sac County, IA",,,46.3,0.3,44.9,0.3,47.4,0.4
05000US19163,"Scott County, IA",,,37.4,0.2,36.4,0.3,38.3,0.3
05000US19165,"Shelby County, IA",,,45.8,0.6,44.3,0.7,46.6,0.6
05000US19167,"Sioux County, IA",,,32.9,0.3,32.1,0.4,34.1,0.5
05000US19169,"Story County, IA",,,26.5,0.2,25.4,0.2,28,0.4
05000US19171,"Tama County, IA",,,42.1,0.5,41.2,0.6,42.8,0.5
05000US19173,"Taylor County, IA",,,44.3,0.4,43.2,0.6,45.8,0.5
05000US19175,"Union County, IA",,,41.5,0.5,40.2,1.4,43.3,1.2
05000US19177,"Van Buren County, IA",,,43.8,1.1,41.8,1.1,45.4,0.8
05000US19179,"Wapello County, IA",,,39.9,0.4,38.4,0.9,41.3,0.5
05000US19181,"Warren County, IA",,,38.5,0.4,37.2,0.6,39.4,0.4
05000US19183,"Washington County, IA",,,41.9,0.6,40.8,0.6,43.4,0.5
05000US19185,"Wayne County, IA",,,45.4,0.3,44.5,0.7,46,0.5
05000US19187,"Webster County, IA",,,40,0.5,36.5,1.5,43,0.6
05000US19189,"Winnebago County, IA",,,43.8,0.7,41.4,1.3,45.7,0.5
05000US19191,"Winneshiek County, IA",,,40.2,0.4,39.4,0.9,40.9,0.6
05000US19193,"Woodbury County, IA",,,35.2,0.1,34.1,0.3,36.4,0.3
05000US19195,"Worth County, IA",,,43.9,0.4,43.5,0.6,44.4,0.4
05000US19197,"Wright County, IA",,,44.4,0.5,43.7,0.8,46.1,1.8
